Titulos,contenidos,Palabras claves
    Auxiliar jurídico  ,Se requiere  estudiante de Derecho de séptimo semestre en adelante. Con 6 meses de experiencia labores afines al cargo.,                                aUXILIAR JURIDICO                            
    Analista de desarrollo de aplicaciones - medellín  ,¡Bienvenido a nuestro proceso de selección! ,                                postgres                            
    Auxiliar de auditoría procesos  ,"se requiere tecnólogo en  administración de empresas, ingeniería industrial, con conocimientos en control interno, auditoria e inventario, con experiencia 1 año en auditoria de procesos, administrativas (áreas de la empresa), logística (inventarios, materias primas), auditoria en producción. Manejo de turnos rotativos de 8 a 12 horas dependiendo de la operación de lunes a sábado, contrato directo con la empresa, salario $1.500.000 + horas extras.        ",                                auditoria                            
    Instrumentador (a) quirurgico (a)  ,"La Fundación Santa Fe de Bogotá requiere para su equipo de trabajo INSTRUMENTADOR/A QUIRURGICO/A, con mínimo 1 año de experiencia asistencial realizando funciones en la ejecución de procedimientos quirúrgicos seguros y eficientes, siguiendo las directrices, políticas y protocolos definidos institucionalmente. Debe contar con disponibilidad de tiempo completa ",                                instrumentador quirurgico                            
    Coordinador administrador en salud - pasto  ,"¡Requerimos un Talento como el tuyo!  EPS, requiere para su equipo Medico   Especialista en Gerencia de Salud, Administración Hospitalaria, Auditoría Médica, Auditoría de Calidad y/o afines. ",                                coordinador gestión salud                            
    Agente call center cobranzas cartera administrativa  ,!Te necesitamos!,                                call center                            
    Analista de conciliaciones bilingüe (holcim abs) - frances b2  ,"Holcim ABS es el Centro de Servicios para las Américas del grupo Holcim, líder mundial en el diseño y fabricación de materiales y soluciones constructivas. Tenemos presencia global en más de 70 países, empleando a alrededor de 80.000 personas.",                                conciliaciones                            
    Técnico en atención pre hospitalario  ,"IPS de imágenes diagnosticas de la ciudad de Pereira, busca técnico en atención pre hospitalaria, con experiencia en el manejo de ambulancias y manejo de pacientes ambulatorios .Importane tener toda la documentación al día: atención a victimas de violencia sexual, RETHUS, atención integral a víctimas de ataques con agentes químicos y RCP. Contrato con todas las prestaciones de ley.  Sede de trabajo: Pereira, salario mínimo, mas prestaciones.        ",                                TAPH                            
    Consultor en sistemas integrados de gestión  ,"Profesional en Ingeniería industrial, con especialización en sistemas integrados de gestión, salud y seguridad en el trabajo o afines. Mínimo dos años  de experiencia ejecutando proyectos o asesoría empresariales. Preferiblemente con formación como auditor.        ",                                auditor                            
    Montacarguista  ,"Tecnico en inventarios, logistica y/o carreras afines con conocimientos y certificado en Manejo y operación de montacargas ,control de inventarios        ",                                tecnico                            
    Auxiliar contable  ,Queremos ampliar nuestro equipo de trabajo con rol de Auxiliar Contable. ,                                contador                            
    Enfermera (o)  soporte y capacitación  historia clinica sistematizada  ,"Importante Clínica  privada de alta complejidad , requiere  profesional en ENFERMERIA   deseable con  especialización  administrativa ( gerencia, auditoria)   con  experiencia mínima de 6  meses  en proyectos de parametrización, capacitación  de Historia Clínica  Sistematizada deseable  en la Herramienta SERVINTE CLINICAL SUITE",                                ENFERMERA JEFE                            
    Practicante tecnico o tecnólogo - tecnología y sistemas bogota  ,"¡En Unisys, Creemos en un futuro mejor!",                                practicante                            
    Analista tecnico/fullstack  ,"Importante empresa del sector de tecnologia requiere para su equipo de trabajo profesional titulado con tarjeta profesional deseable especialización  en carreras afines, Experiencia de 3 años  en proyectos de construcción de software, con rol de desarrollador. ",                                java                            
    Odontologo director comercial  ,"Reconocido grupo  del sector Salud  requiere para integrar a su equipo DIRECTOR COMERCIAL  PARA CLINICA DENTAL. Para Planear, dirigir, liderar y controlar la fuerza de venta interna y externa . Debe contar con especialización en áreas afines. Experiencia de 3 años en Dirección Comercial.",                                coordinador                            
    Comercial ejecutivo  ,"Ejecutiva comercial Regional Santanderes de tiempo completo, contratación en Bucaramanga ",                                comerciales                            
    Enfermero jefe de cultura y formacion  ,"Importante empresa del sector salud requiere para el equipo de trabajo, Enfermero jefe de cultura y formación. ",                                enfermeros                            
    Analista contable - experiencia en fiduciarias  ,"Red Bogotá,",                                contabilidad                            
    We're looking for a bilingual quality analyst in barranquilla!  ,What are we looking for?,                                quality                            
    Asistente administrativo sogomaso  ,"Empresa de tecnología con presencia a nivel regional esta en la búsqueda de un Asistente administrativo  en Sogamoso  presencial ,tecnologo o profesional  recien graduado en áreas  contables y/o administrativas al menos 1 año de experiencia en procesos de facturación, presupuesto, contabilidad base, órdenes de salida, informes y pagos.El perfil contará con experiencia funcional en SAP ERP para desarrollar las actividades propias del cargo.        ",                                facturación                            
    Analista de compras y logística con licencia b1 para guarne 1626313558.8  ,"Empresa de nutrición vegetal para el sector agro ubicada en Guarne, requiere para su equipo de trabajo analista de compras y logística con experiencia mínima de 2 años en el cargo.",                                Otra                            
    Profesional diseño industrial  ,"Buscamos profesionales en diseño industrial, ingeniería de diseño, diseño de espacios o carreras afines para el desarrollo de procesos de producción, integración y montajes de escenarios museográficos, experiencias interactivas y espacios de aprendizaje.",                                Diseño industrial                            
    Asesor comercial medicina prepagada  ,"Importante entidad de salud con presencia nacional e internacional  requiere de manera urgente Bachiller, Técnico o Tecnólogo  en carreras administrativas, para ocupar el cargo de Asesor comercial. Debe contar con Experiencia  mínima de 1 año en ventas tangibles e intangibles.",                                ventas                            
    Enfermera de gestion del riesgo  ,"Importante clínica  ubicada en el norte de la ciudad, requiere, profesional en enfermería especialista en epidemiologia, exp min 1 año en el cargo de enfermera de gestión de riesgo o cargos afines.",                                ENFERMERA ESPECIALISTA                            
    Analista soporte lt/ calidad 27001  ,"Sinergy Lowells empresa líder en tecnología  , requiere para su equipo de trabajo, Tecnico O tecnologo de sistermas, tecnologo estudiante de ultimo semestre ",                                27001                            
    Director técnico  ,"Importante empresa del sector farmacéutico requiere director tecnico que sea profesional químico farmacéutico, con experiencia en el sector de PRODUCCION FARMASEUTICA, con experiencia mínima de 3 AÑOS.",                                farmaceutico                            
    Comercial it  ,"Técnico, tecnólogo, estudiante o profesional en carreras de comercio.",                                comercio                            
    Analista de investigación y desarrollo de productos  ,"¿Has trabajado en procesos relacionados con materias primas nuevas (análisis, rotulado, almacenamiento, etc)?",                                cosmeticos                            
    Gerente administrativo y comercial  ,Nos encontramos en la búsqueda de un líder estratégico para la Gerencia general de importante compañía del sector Agrícola.,                                Gerente administrativo y comercial                            
    ¡reconocida multinacional busca un/a analista de selección bilingüe!  ,"Buscamos a profesionales graduados en áreas administrativas o afines, con un nivel de inglés B2 o B2+ y 6 meses de experiencia en áreas de reclutamiento y selección. Deseable experiencia en entrevistas por competencias y Assessment Center.",                                Selección                            
    Coordinador de oficina - armenia-rs-012356  ,"Importante empresa aseguradora de salud requiere para su equipo de trabajo COORDINADOR DE OFICINA debe ser profesional en áreas de salud, administrativas, mercadeo, ingenierías, o áreas afines, con especialización en áreas administrativas o áreas administrativas de salud, debe contar con tres (3) años de experiencia mínimo de 1 año en área de Servicio al cliente, administrativa y comercial, manejo de equipos de trabajo y clientes difíciles, implementación de herramientas de seguimiento, manejo de indicadores y estrategias de mejoramiento. Manejo de Herramientas Ofimáticas y paquete office, control y seguimiento de proceso de servicio, análisis y control de indicadores de gestión e indicadores comerciales con conocimientos y habilidades para conformar equipos de ventas altamente productivos, capacidad para analizar las habilidades comerciales en los vendedores, conocimiento de normatividad vigente Conocimiento de la ley 100, negociación y manejo de conflictos.",                                coordinador                            
    Consultor/a sql server - sas  ,"Requerimos profesionales en Ingeniería de Sistemas, Electrónica o carreras afines, con experiencia de  3 años implementando proyectos de automatización de Campañas para clientes, productos, transacciones, canales y segmentos. Debe conocer sobre implementaciones de SAS, Administración de campañas desde CRM y herramientas de automatización de flujos a través de journeys. Manejo de datos a través de office, SQL Server.        ",                                ingeniero                            
    Auxiliar jardinero  ,"La Universidad Santo Tomas seccional Bucaramanga, requiere Jardinero para desempeñar funciones de mantenimiento de zonas verdes, manejo de herramientas como cortacesped, guadaña, sopladora, cortacetos. Con disponibilidad de desempeñar labores en los diferentes campus de la Universidad en el área Metropolitana, cumpliendo un horario de lunes a sábado.",                                Jardinero                            
    Inspector de calidad o laboratorio  ,"Importante compañía del sector colchonero requiere para su equipo de trabajo tecnólogo o profesional en calidad o laboratorio, con experiencia mínima de 2 años en procesos de calidad y cumplimiento de estándares de la norma, debe contar con experiencia y curso vigente en metodología. ",                                inspector de calidad                            
    Planeador de mantenimiento- parada de planta  ,"Importante empresa solicita Planeador de mantenimiento, con formación : PROFESIONAL EN INGENIERIAS O AFINES , INGENIERO ELECTROMECANICO, INGENIERIA DE ELECTRICIDAD, INGENIERO ELECTRICO, MECANICO, INSTRUMENTACION Y CONTROL con conocimiento en:",                                PLANEADOR DE MANTENIMIENTO                            
    Supervisor de ventas tat-  chia  ,Oferta laboral en ZIPAQUIRÁ- COGUA- CAJICÁ- NEMOCÓN- UBATÉ- TOCANCIPÁ,                                supervisor tat                            
    Auditor senior  ,"Importante Empresa  busca Auditor  Senior para trabajar fuera de Bogotá, municipios aledaños.  Profesional Graduado en Ingeniería Industrial, Administración de empresas, Contaduría Pública (No Estudiantes). Experiencia mínima de 5 años.   Conocimientos en todos los procesos organizacionales, experiencia en compras y procesos logísticos organizacionales, organizada, con ganas de incursionar en las áreas de auditoría y procesos.  ",                                auditoras                            
    Practicante de psicología  ,"Estudiante de Psicología o carreras afines, con practicas a probadas mediante contrato de aprendizaje, para realizar sus practicas apoyando procesos de gestión humana (reclutamiento, selección, contratación, formación...). Horario l-v 7.30 am a 5 pm        ",                                practicante                            
    Auxiliar administrativo  ,"En Asesoftware seguimos creciendo y nos encontramos en la busqueda de nuestro porximo auxiliar administrativo responsable de llevar a cabo tareas administrativas y de apoyo en la oficina.  Puede incluir tareas como la gestión de correos electrónicos y llamadas telefónicas, la organización de archivos y documentos, proporcionar asistencia al personal de la empresa en actividades diarias que surjan en la compañia.",                                auxiliar administrativo                            
    Analista contable 1626037973.42  ,"Reconocida empresa de comercio de ropa y artículos de moda, requiere incorporar a su equipo de trabajo un Tecnólogo en contabilidad o estudiante de mínimo 6° semestre de contaduría pública. Debe contar al menos con 12 meses de experiencia en la parte contable. ",                                Otra                            
    Auditor academico  ,¡Trabaja con nosotros!,                                auditor                            
    Ingeniero sst  ,Importante compañía del sector colchonero requiere para su equipo de trabajo mínimo tecnico enfocado en sst con experiencia mínima de 3 años en todos los procesos de seguridad y salud en el trabajo con licencia HSQ vigente ,                                tecnico en sst                            
    Operador de planta  ,"Importante empresa productora certificado en Colombia, para la venta de refrigerante Automotriz, para el consumo de las flotas, sistemas de transporte masivo y motores diésel con motores Euro 4, 5 y 6, requiere para su cede en Bogotá (Autopista medelllin Cl 80, km 7, Cundinamarca) un Operador de Planta.",                                Operador de planta                            
    Asesor comercial pac- 12302-manizales  ,"Importante empresa del sector salud requiere bachiller con experiencia mínima de 1 año en venta y comercialización de servicios o productos intangibles preferiblemente en aseguradoras, medicina prepagada, EPS o planes voluntarios de salud; prospección y relacionamiento con clientes empresariales, capacidad para comunicarse asertivamente con grupos de interés, habilidades para utilizar exitosamente modelos comerciales y de venta consultivo, conocimientos específicos y habilidades técnicas, manejo de herramientas comerciales, manejo básico de herramientas de office, tipo de contrato: indefinido. Salario: $ 1.526.000.oo+ Comisiones prestacionales sin techo.        ",                                comercial                            
    Tecnico de soporte sogamoso  ,"Empresa de tecnología con presencia a nivel regional esta en búsqueda  de un analista de soporte para Sogamoso, técnico o tecnologo en sistemas o carreras afines con minimo un año de experiencia en soporte presencial a usuario final, manejo  casos que le son escalados por el analista de mesa de ayuda.        ",                                soporte en sitio                            
"    Analista logistico calle 80, funza, madrid, mosquera  ",Importante compañía del sector de telecomunicaciones requiere para su equipo de trabajo Analista de logística que tenga experiencia,                                logistica                            
    Jefe de importaciones y logistica  ,"Reconocida empresa del sector Automotriz busca para su equipo de trabajo JEFE DE IMPORTACIONES Y LOGISTICA, profesional en negocios internacionales, comercio exterior o carreras afines, mínimo 4 años de experiencia en cargos similares en el sector automotriz, debe tener conocimiento en clasificación arancelaria, normatividad aduanera. Indispensable dominio del idioma inglés escrito y hablado. ",                                arancelaria                            
    Gestor de proyectos  ,"Profesional en áreas administrativas o de educación, con especialización en Gerencia o Gestión de Proyectos,  TIC, Informática Educativa,  Proyectos educativos mediados por TIC, innovación educativa, Educación o áreas afines. Con experiencia en manejo de gestión comercial y de ventas, trabajo por objetivos y cumplimiento de metas comerciales. Experiencia mínima  de  3 años en la gestión, acompañamiento, seguimiento y desarrollo de proyectos virtuales. ",                                E LEARNING                            
    Almacenista de construcción- cajica  ,¡Buscamos el mejor talento!,                                almacenistas                            
    Auxiliar de admisiones  ,"Importante y reconocida clinica ubicada en el norte de la ciudad, requiere, tec o tecnologo aux administrativo en salud o auxiliar de enfermeria. Exp min 1 año reciente como auxiliar de admisiones.",                                AUXILIAR DE ADMISIONES                            
    Asesor comercial interno barrancabermeja  ,"Importante empresa  Financiera requiere para su equipo de trabajo tecnólogo y/o profesional en carreras administrativas, financieras, comerciales o afines, experiencia mínima de 2 años en el manejo de productos y servicios del sector, Debe tener conocimiento en asesoría a los clientes, captación de nuevos clientes, venta de portafolio financiero, entre su funciones se encuentra el Cumplimiento de metas comerciales, Asegurar la calidad del producto y del servicio ofertado. Horarios: Lunes a Sábado. Salario: 1.500.000 + prestaciones.        ",                                asesoria                            
    Administrador de punto de venta cartagena  ,"Importante compañía del sector colchonero requiere para su equipo de trabajo administrador punto de venta o líder de tienda con experiencia minima de 1 año con conocimiento en caja menor, facturación tipo pos, manejo de personal, manejo de presupuesto, entre otras",                                lider de tienda                            
    Asesor comercial interno barrancabermeja  ,"Importante empresa  Financiera requiere para su equipo de trabajo tecnólogo y/o profesional en carreras administrativas, financieras, comerciales o afines, experiencia mínima de 2 años en el manejo de productos y servicios del sector, Debe tener conocimiento en asesoría a los clientes, captación de nuevos clientes, venta de portafolio financiero, entre su funciones se encuentra el Cumplimiento de metas comerciales, Asegurar la calidad del producto y del servicio ofertado. Horarios: Lunes a Sábado. Salario: 1.500.000 + prestaciones.        ",                                asesoria                            
    Auxiliar administrativa (o) start up y aceleración - cali  ,"La Universidad ICESI, se encuentra en la búsqueda de Auxiliar Administrativa (o) de  Start Up y Aceleración quien tendrá la misión de: Apoyar a la Dirección del Área Startup y Aceleración del Centro de Desarrollo del Espíritu Empresarial - CDEE en el desarrollo de las diversas actividades y servicios que este presta a la comunidad en los procesos de creación de empresa, con el propósito de mejorar los resultados de incubación y aceleración empresarial, de acuerdo con las políticas institucionales y los lineamientos del CDEE. 	",                                apoyo administrativo                            
    Contador publico  ,"Importante empresa en Barranquilla requiere profesional en contaduría pública, con experiencia de 4 años en registro de operaciones, conciliaciones bancarias, manejo de facturación electrónica, manejo de nómina electrónica, información exógena, preparación de impuestos nacionales y distritales, preparación de estados financieros, y demás tareas asignadas por el jefe directo. Manejo de Office, SIIGO. Se requiere un alto grado de liderazgo, proactividad, creatividad y responsabilidad en el desempeño de las tareas asignadas.        ",                                contador                            
    Asesor/a integral pereira  ,Únete a nuestra comunidad de talentos ,                                Asesor                            
"    Auxiliar contable, estudiante  ","Empresa de construcciones e ingeniería, dedicada a la contratación privada y estatal, solicita:",                                AUXILIAR CONTABLE                            
    Representante de ventas  ,"Vendedor externo, con experiencia de 2 años en ventas, manejo de herramientas básicas de office, indispensable que tenga moto, preferiblemente que viva en el sur, con habilidades de comunicación, planificación, asertividad en la comunicación, organización, conocimiento en presentación de informes, cumplimiento de metas, impecable presentación personal.        ",                                Representante de ventas                            
    Communications and marketing manager bilingüe 1626345623.3  ,"Company of the hotel and tourism sector located in Medellín, requires for its work team Main Communications & Marketing Manager Bilingüe with between 3 and 5 years of proven work experience in digital marketing, to lead the team and bring the brand to greater recognition",                                Otra                            
    Director comercial  -  medellin  ,"Reconocida empresa con amplia trayectoria en el sector gráfico; requiere vincular DIRECTORES COMERCIALES, este cargo  se orienta en dirigir, coordinar y controlar las estrategias comerciales para las diferentes líneas de productos, con el fin de cumplir con las metas comerciales establecidas en la planeación estratégica de la organización. ",                                Flexografia                            
    Coordinador de comercio exterior  ,"Se requiere tecnólogo en Comercio exterior ó negocios internacionales y/o carreras afines, con experiencia de 5 años, en seguimiento a entrega de mercancía por parte del proveedor, cumpliendo con los tiempos y costos establecidos para la importación, realizando la liquidación de las importaciones, asegurando la disponibilidad del producto al mejor costo, realizar cotizaciones con agente de carga y transporte nacional, elaborar y controlar los documentos de  vinculación. Contrato directo con la empresa, salario: $2.000.000        ",                                importaciones                            
    Asesor comercial de vehículos pesados (buses y camiones)  ,"La empresa Automarcali Chevrolet requiere para su equipo de trabajo, persona con conocimientos en procesos de ventas, prospección, negociación y cierre de productos intangibles. Manejo de Microsoft office e internet. ",                                asesor                            
    Analista de lealtad / fidelizacion de clientes  ,Si quieres ser parte de una de las compañías más innovadoras y quieres transformar positivamente la vida de las personas. ¡Esta Oportunidad es para Ti!?Estamos en búsqueda de ANALISTA MERCADEO RELACIONAL.,                                bases de datos                            
    Asistente de contabilidad  ,"En Credicorp Capital buscamos Talento Excepcional para ocupar la posición de Asistente Contabilidad cuyo objetivo es: Ejecutar y realizar seguimiento a los procesos de conciliaciones bancarias, así como resolver problemáticas o inconvenientes presentados durante el proceso operativo, con el fin de garantizar la información actualizada de saldos. ",                                contadores                            
    Practicante de psicología  ,"Se solicita practicante de PSICOLOGÍA para el área de recursos humanos de importante empresa, excelente presentación personal, puntualidad, comunicación asertiva.",                                psicología                            
    Consultor comercial de oficina bancaria monteria  ,"Te invitamos a postularte a nuestra vacante CONSULTOR DE OFICINA BANCARIA- MONTERIA y, si eres elegido, vivir la experiencia de conocer por qué trabajar con Banco Pichincha es más que un trabajo. ",                                asesores                            
    Inspector de seguridad integral  ,"¿Buscas ser parte de una cultura de alto desempeño, comprometida con lo social? Si es así, te invitamos a participar en nuestra convocatoria para el cargo: Inspector  Seguridad Integral.",                                seguridad                            
    Almacenista junior - siberia y alrededores  ,"Multinacional del Sector Industrial requiere tecnólogo o estudiante universitario de carreras administrativas, logística o a fines que cuente con 2 años de experiencia en manejo y coordinación de transporte, tarifas y manejo de proveedores de transporte, Ingreso de Mercancía al inventario, Revisión de facturas del área logística, Contabilización de Remisiones, seguimiento a entregas de pedidos, manejos de SAP. ",                                almacenistas                            
    Psicologo - ppl medellin  ,"Nos encontramos en la búsqueda de Psicólogo(a) para trabajar con pacientes del programa de salud mental en el centro penitenciario de MEDELLIN. Ofrecemos un contrato a término indefinido con prestaciones de ley (Prima, Cesantías, Vacaciones) un salario mensual de $2'100.000, horario laboral de lunes a viernes de 7:00 am a 5:00 pm y dos sábados al mes de 7:00 a.m. a 1:00 p.m. ",                                psicología clínica                            
    Asesor posventa  ,"La empresa Automarcali Chevrolet requiere para su equipo de trabajo, persona con conocimientos en procesos de ventas, prospección, negociación y cierre de productos intangibles. Manejo de Microsoft office e internet. ",                                asesor                            
"    Auxiliar operativo - logistico calle80, mosquera , madrid, funza  ",Auxiliar de logística,                                auxiliar                            
    Agente call center cobranzas cartera administrativa  ,!Te necesitamos!,                                call center                            
    Científico de datos área de riesgo  ,"Somos una empresa nacional, que viene en un proceso de transformación tecnológica, analítica y digital; pionera del sector y que se encuentra en la búsqueda de un profesional en Ingeniería de sistemas, Telemática, Ingeniería Electrónica, Telecomunicaciones, Matemático, Estadístico y afines con estudios complementarios en Analítica de Datos, BI, Ciencia de Datos y/o Gestión de Datos.",                                datos                            
    Vendedor de mostrador - sector eléctrico  ,"Importante grupo empresarial dedicado a comercialización de productos eléctricos, busca para su equipo un vendedor de mostrador, que tendrá la responsabilidad de garantizar la gestión de ventas y el cumplimiento de presupuestos.",                                Vendedor                            
    Administrador web  ,"Requerimos para nuestra agencia de publicidad digital Webmaster con experiencia minima de 2 años administrando plataformas PHP (WordPress o drupal desde CMS), sera encargado/a de cargar el contenido a las diferentes plataformas.",                                web                            
    Practicante universitario de seguridad y salud en el trabajo  ,"Importante empresa del sector de la producción y construcción ubicada en La Sabana, se encuentra en búsqueda de Practicante de Seguridad y Salud en el trabajo para laborar en alternancia entre Cundinamarca (a Sabana) y Bogotá de manera presencial con un horario de lunes a viernes de 7 am a 5 pm. ",                                practicante                            
    Auxiliar contable  ,Requerimos técnico o tecnólogo en contabilidad con experiencia mínimo ,                                auxiliar contable                            
    Planeador (licencia de maternidad)  ,"Se requiere Planeador para cubrir licencia de maternidad en área de operaciones. Profesional en carreras administrativas, ingeniería industrial y/o afines con experiencia de 1 a 2 años en procesos de planeación, productivos y logísticos. Conocimiento en paquete office, cadena de abastecimiento, POWER BI, planificación, SAP.        ",                                planeador                            
    Asesor de cobranza - medellin  ,Nos encontramos en búsqueda de bachiller titulado con experiencia mínima y reciente de 6 meses cobrando cartera castigada preferiblemente con campañas del sector financiero.,                                Asesor                            
    Operarios de producción  ,"Importante empresa dedicada a la producción y exportación de flores, requiere para su equipo de trabajo OPERARIOS DE POSCOSECHA, con experiencia mínima de 6 meses certificada en cargue, descargue y producción. ",                                producción                            
    Mensajero repartidor con moto -manizales  ,"Empresa de comercialización requiere personas mínimo Bachilleres para el cargo de Mensajero repartidor con 6 meses de experiencia en servicio al cliente, mensajería u operativos. ",                                bachillerato                            
    Profesional en contaduria  ,"En SIES Salud buscamos personas con talento, alta disposición al servicio, con deseos de continuar aprendiendo y creciendo:",                                analista contable                            
    Analista de soporte sogamoso  ,"Empresa de tecnologia con presencia a nivel regional esta en la busqueda de un analista de soporte tecnico en Belencito- Sogamoso. Tecnico, tecnologo o profesional recien egresado con experiencia brindando soporte tecnologico,mantenimiento preventivo y correctivo, gestión de reportes y métricas,conocimientos en ITIL, para trabajar en un horario Lunes a viernes 07:30 Am a 05 Pm con disponibilidad rotativa.        ",                                soporte en sitio                            
    Ejecutivo de ventas  ,EJECUTIVO DE VENTAS / SALES EXECUTIVE ,                                asesor comercial agencia de carga                            
    Profesor (a) tiempo completo derecho maestria en derecho publico -   campus popayan  ,"En la Universidad Cooperativa de Colombia estamos comprometidos con la equidad de género, el respeto por la diversidad y la interculturalidad, por ello le decimos NO a cualquier forma de discriminación y violencia. Le apostamos al cierre de brechas de género y a la eliminación de los techos de cristal, brindando igualdad de oportunidades a hombres, mujeres y a la comunidad LGTBIQ+, por ello invitamos a hombres, mujeres y población diversa a ser parte de este propósito. ",                                docente                            
    Coordinador de seguridad y salud en el trabajo  ,"Se requiere Profesional en seguridad y salud en el trabajo con conocimientos en manejo de sistemas de gestión para empresas del sector metalmecánico , manejo y dirección de personal, que se encuentre actualizada en normatividad vigente.        ",                                coordinador                            
    Vendedor medicina estetíca en medellín.  ,Experiencia: Mínimo 2 años de experiencia como vendedor de productos médicos y estéticos. ,                                ventas                            
    Ingeniero de conectividad redes lan/wan  ,"Empresa de tecnología con presencia  nivel regional esta en la búsqueda de un ingeniero de redes, tecnología o ingeniero de redes o carreras a fines experiencia de 2 años realizando troubleshooting nivel 2, sobre redes LAN, WAN, WLAN y plataformas de comunicaciones unificadas,Conocimientos en redes Cisco (Catalyst - Meraki - Aironet) Certificación de CCNA,Excelente manejo de la documentación.        ",                                LAN                            
    Mercaderista girardot  ,Importante empresa del sector de Alimentos se encuentra en búsqueda de Mercaderista en GIRARDOT.,                                Neiva                            
    Especialista en calidad y/o seguridad del paciente  ,"Importante empresa del Sector Salud, requiere para su equipo de trabajo profesional en carreras del área de la Salud, con especialización en Auditoria en Salud o Gerencia/Gestión de la Calidad.  Mínimo 2 años de experiencia en procesos de habilitación, Seguridad del Paciente, PAMEC y otras actividades propias de SOGCS. Contrato indefinido. Horario L-V de 7am a 5pm.        ",                                seguridad del paciente                            
    Especialista hse barranquilla  ,"Profesional en Ingeniería Industrial, Mecánica, Ambiental, Salud Ocupacional y/o carreras afines, con Licencia en salud ocupacional vigente, para administrar y ejecutar el desarrollo e implementación del Sistema de Gestión de Seguridad, Salud en el Trabajo y Ambiente, de acuerdo con los requisitos legales y de otra índole aplicables, con el fin de mejorar continuamente el desempeño del Sistema de Gestión, prevenir impactos negativos a la seguridad, la salud de las personas y al ambiente.",                                Salud en el Trabajo                            
    Analista de proyectos operaciones  ,"Audifarma S.A requiere para su equipo de trabajo Analista de Operaciones Proyectos encargado de gestionar acciones para el desarrollo, seguimiento y mejoramiento de unidades estratégicas, mediante proyectos tendientes a dar solución integral a las necesidades. ",                                admon industrial                            
    Administrador  ,"Asociacion de propietarios  Plaza De mercado las flores, se encuentra en búsqueda de ADMINISTRADOR   PROFESIONAL  con énfasis en finanzas, responsable comprometido y con buen servicio al cliente. ",                                administrador financiero                            
    Director de relaciones laborales  ,"Cueros Vélez S.A.S, empresa líder en el mercado de manufactura en el sector del cuero requiere para su equipo de trabajo Director",                                Otra                            
    Analista de operaciones internacionales  ,ANALISTA DE OPERACIONES INTERNACIONALES ,                                operaciones logisticas                            
    Auxiliar experiencia de cliente pqr  ,¿Tienes más de un año en experiencia como Auxiliar de Cliente PQR? Continua leyendo que esta es tu oportunidad de crecer profesional y personalmente. ,                                Tecnico administrativo                            
    Todero auxiliar de mantenimiento  ,"Importante empresa dedicada a la producción y exportación de flores, requiere para su equipo de trabajo AUXILIAR DE MANTENIMIENTO LOCATIVO, con experiencia mínima de 6 meses certificada en cargue, descargue, canastillas, riego y fumigación. ",                                flora                            
    Asesora comercial  ,Asesora comercial tienda-tienda de productos relacionados con el ciclismo - Persona desenvuelta en relacionamiento publico - Conocimiento en ventas y mercadeo - Responsable con el manejo de información        ,                                asesor                            
    Vendedor 6 horas hc industriales  ,"Tu proceso de selección se realizará a través de una plataforma online, revisa tu correo electrónico* ",                                Otra                            
    Ejecutivo comercial canal tradicional - antioquia  ,"¡En Operadora Avícola Colombia, Tenemos una gran oportunidad para TI!",                                Canal tradicional                            
    Mentor/a de ingles para fines de semana 317258.159209  ,"Comfama caja de compensación familiar de Antioquia, trabaja por una clase media antioqueña consciente, productiva, libre y feliz, se encuentra en búsqueda de mentores de ingles.",                                Otra                            
"    Operario/a de producción, selección y empaque para rionegro  1626019435.25  ","Empresa del sector alimentos ubicada en el Oriente Antioqueño, requiere para su equipo de trabajo  personas para el cargo de operario/a de producción para selección y empaque de fruta tipo exportación, no se requiere experiencia previa.",                                Otra                            
    Practicante universitario profesional en sst  ,"Importante empresa del sector retail se encuentra en la búsqueda de PRACTICANTE DE SALUD OCUPACIONAL O SEGURIDAD Y SALUD EN EL TRABAJO, La empresa se encuentra ubicada muy cerca a la glorieta de Siberia en el Parque Empresarial Zol Funza Bodegas K1 y K2 Km 1,5 vía Cerrito – La Florida Funza Cundinamarca.",                                practicante                            
    Director de programa académico - eje cafetero  ,¡Haz parte de nuestro equipo de trabajo!,                                docencia                            
    Auxiliar de servicios generales 1626176612.9  ,para realizar labores de limpieza. ,                                Otra                            
    Analista de monitoreo transaccional  ,¿Qué harás?,                                monitoreo                            
    Auxiliar contable  ,Importante empresa se encuentra en la búsqueda de Técnico en áreas contables,                                tecnico contable                            
    Diseñador y programador cnc laser  ,"Importante empresa del sector industrial solicita Diseñador y programador de cortadora laser para chapa metálica, Técnico en programación o diseño. Experiencia de 2 años en equipos de corte con tecnología CO2 o fibra óptica, manejo de software CAD, conocimiento en procesos de transformación de chapa metálica (corte, plegado, acabados, etc.)",                                cnc                            
    Auxiliar de nómina  ,"Importante compañía de servicios requiere auxiliar de nomina con conocimiento en: liquidación de vacaciones, liquidación de horas extras, recargos, liquidaciones de contrato, preferiblemente que maneje el aplicativo de nomina  Designer, indispensable manejo de Excel. horario de lunes a viernes de 8:00am a 6:00pm, contrato a termino indefinido.        ",                                tecnio                            
